ChannelName,Title,Video ID,Published At
The Comments Section with Bret Cooper_videos,The Little Mermaid Needs To Be More Queer?,cOtgiZwEpzk,2023-05-30T23:01:24Z
The Comments Section with Bret Cooper_videos,This new Little Mermaid song can't be real?!,sy3GXNkzE18,2023-05-30T02:38:16Z
The Comments Section with Bret Cooper_videos,There is a pronoun for everyone and everything!,eWGBegeNtNY,2023-05-28T22:00:24Z
The Comments Section with Bret Cooper_videos,This is a chill bear chase!,STL_HzEDf6E,2023-05-28T20:00:11Z
The Comments Section with Bret Cooper_videos,I Tried Ranch On Everything So You Don't Have To...,b4BrDCElWlY,2023-05-28T18:00:10Z
The Comments Section with Bret Cooper_videos,Glamping on downtown city streets!,u9qwSlC4NMg,2023-05-27T22:00:21Z
The Comments Section with Bret Cooper_videos,Is It Selfish To NOT Want Children?,jTKvWzShcQ4,2023-05-27T17:15:01Z
The Comments Section with Bret Cooper_videos,"He found the ""tuck friendly"" Target bathing suit!",w75QTUF9Lgo,2023-05-27T01:00:31Z
The Comments Section with Bret Cooper_videos,Cant Date A White Girl? Lebron James Jr. Taking Fire,-Q_M0z4-ChE,2023-05-26T23:30:00Z
The Comments Section with Bret Cooper_videos,North Face is a joke...,VjtxdWMMP0Q,2023-05-26T20:09:11Z
The Comments Section with Bret Cooper_videos,Meghan Markle Caught Lying,VHtbXo8Wlz4,2023-05-26T17:30:12Z
The Comments Section with Bret Cooper_videos,Country Star Guilty of Being A Horrible Husband,G7mKnMSDr1c,2023-05-25T23:39:54Z
The Comments Section with Bret Cooper_videos,Welcome to American universities in 2023,XC5iF1c5GVw,2023-05-25T21:05:14Z
The Comments Section with Bret Cooper_videos,Mizzy: When Social Clout Becomes Your Religion,PBBdG_ZGfhQ,2023-05-25T17:00:13Z
The Comments Section with Bret Cooper_videos,The white liberal savior complex on full display!,9wSYgun684U,2023-05-25T02:33:30Z
The Comments Section with Bret Cooper_videos,"Offend The Professor, Fail The Class",TIWKB8RcYig,2023-05-24T23:39:21Z
The Comments Section with Bret Cooper_videos,All the phones are listening! 🤣,f2gqfklvh8g,2023-05-24T20:00:09Z
The Comments Section with Bret Cooper_videos,LA Dodgers Bow To Drag Queen Nuns?,8cidanz0Ow8,2023-05-24T17:00:07Z
