Channel1,Channel2,Weight
DDayCobra,patriotoutpost248,20
nerdrotic,patriotoutpost248,20
NerdroticLive,patriotoutpost248,20
GeeksandGamers,patriotoutpost248,20
rkoutpostshorts8795,patriotoutpost248,20
ComixDivision,patriotoutpost248,20
HeelvsBabyface,patriotoutpost248,20
rkoutpostgaming8112,patriotoutpost248,20
GeeksandGamersTabletop,patriotoutpost248,20
TheOMBReport,patriotoutpost248,20
OMBReviews,patriotoutpost248,20
shadiversity,patriotoutpost248,20
ryankinel-rkoutpost1,patriotoutpost248,20
QTRBlackGarrett,patriotoutpost248,20
ParkHoppin,patriotoutpost248,20
rkoutpostlive8385,patriotoutpost248,20
XrayGirl_,patriotoutpost248,20
PierryChan,patriotoutpost248,20
Nerdrotic:3,patriotoutpost248,20
geeksandgamerslife,patriotoutpost248,20
patriotoutpost248,hawttoys,20
patriotoutpost248,geeksandgamersplay,20
patriotoutpost248,NerdroticDaily,20
TheLittlePlatoon,cynicafterdark,20
cynicafterdark,MrBrownAlliance,20
ValuetainmentShortClips,VALUETAINMENT,20
ValuetainmentShortClips,vtsoscast,20
VALUETAINMENT,PBDPodcast,20
ElasticDroid,GrizzyBeatss,19
nerdrotic,disparutoo,19
pourchoices_,QTRBlackGarrett,19
patriotoutpost248,pourchoices_,19
HeelvsBabyface,JayneTheory,19
NICKMERCS,skizzlex,19
theunusualsuspectspodcast,ValuetainmentComedy,19
theunusualsuspectspodcast,bizdocpodcast,19
theunusualsuspectspodcast,vtsoscast,19
HeelvsBabyface,HumanCyborgRelation,19
xrayvisions5786,xraygirllive8493,19
GrizzyVODS,Pezzy,18
nerdrotic,FilmThreat,18
HeelvsBabyface,disparutoo,18
ryankinel-rkoutpost1,disparutoo,18
youngrippa59,nerdrotic,18
MoreGrizzy,Rectrixx,17
Rectrixx,grizzytv,17
MoreGrizzy,ThatDeadBlade,17
BlargMyShnoople,GrizzyBeatss,17
HeelvsBabyface,FilmThreat,17
youngrippa59,GeeksandGamers,17
youngrippa59,HeelvsBabyface,17
.,SteaneTwinsGaming,17
theunusualsuspectspodcast,VALUETAINMENT,17
kara_creates,HumanCyborgRelation,17
nerdrotic,MidnightsEdge,16
timthetatman,skizzlex,16
TheLittlePlatoon,VexElectronica,16
VexElectronica,MrBrownAlliance,16
ShaneCashman,TPostMillennial,16
waywardgames44,waywardwolf44,16
waywardgames44,waywardson44,16
waywardwolf44,waywardson44,16
HeelvsBabyface,XrayGirlLive,16
HeelvsBabyface,xrayvisions5786,16
GrizzyBeatss,SMii7Y,15
midnightsedge.me,AndreEinherjar,15
Midnights_Edge,AndreEinherjar,15
Midnights_Edge,ValliantRenegade,15
midnightsedge.me,ValliantRenegade,15
GeeksandGamers,disparutoo,15
GeeksandGamers,MauLerYT,15
nerdrotic,TheCriticalDrinker,15
ryankinel-rkoutpost1,TheCriticalDrinker,15
nerdrotic,EveryFrameAPause,15
BrutalPlanetComics,HollywoodScholar,15
simpsaversam_yt,steanetwinsyoutube,15
identicalyoutube,simpsaversam_yt,15
BlameTruth,scaryaxe,15
LegacyKillaHD,scaryaxe,15
BenShapiro,,15
ShaneCashman,IanCrossland,15
HeelvsBabyface,kara_creates,15
QTRBlackGarrett,xraygirllive8493,15
MarcTheCyborg,pourchoices_,15
alsonamedjosh,JoshLeeKwai,14
alsonamedjosh,wachelreeks,14
alsonamedjosh,CommandCast,14
samjroyale2334,michaelfitztroy,14
samjroyale2334,theflushingqueens3492,14
MauLerYT,HeelvsBabyface,14
HeelvsBabyface,TheCriticalDrinker,14
ryankinel-rkoutpost1,nerdrotic,14
PrestigeisKey,scaryaxe,14
TheLittlePlatoon,ActuallyAndrewYT,14
VexElectronica,ActuallyAndrewYT,14
MrBrownAlliance,ActuallyAndrewYT,14
sergedotcom,DannyJokes,14
IanCrossland,DannyJokes,14
Timcast,DannyJokes,14
TPostMillennial,IanCrossland,14
pourchoices_,MrPorkchop_14,14
HeelvsBabyface,gngpourchoices,14
THEBURNETTWORK,midnightsedge.me,13
Metalsforge,Fringy,13
DDayCobra,disparutoo,13
EveryFrameAPause,XrayGirl_,13
EveryFrameAPause,pourchoices_,13
youngrippa59,ryankinel-rkoutpost1,13
ryankinel-rkoutpost1,HeelvsBabyface,13
scaryaxe,MrDalekJD,13
theorysarcade,TheorysTales,13
TheorysTales,starwarstheory66,13
HCBrimelow,PhilThatRemains,13
waywardgames44,waywardculture,13
waywardculture,waywardwolf44,13
waywardculture,waywardson44,13
jfwong,alsonamedjosh,12
GrizzyBeatss,Rectrixx,12
Memology101:e0,incompetech_kmac,12
THEBURNETTWORK,astroskullmedia,12
Midnights_Edge,mikecanul,12
midnightsedge.me,mikecanul,12
OMBReviews,disparutoo,12
DDayCobra,MauLerYT,12
MauLerYT,ryankinel-rkoutpost1,12
nerdrotic,,12
,XrayGirl_,12
GeeksandGamers,FilmThreat,12
pourchoices_,shadiversity,12
HeelvsBabyface,EveryFrameAPause,12
HeelvsBabyface,MidnightsEdge,12
ryankinel-rkoutpost1,MidnightsEdge,12
JayneTheory,QTRBlackGarrett,12
BrutalPlanetComics,DragonLady-mj8yo,12
ChaosGaming,scaryaxe,12
Fesify,scaryaxe,12
TheLittlePlatoon,DarkHourYT,12
TheLittlePlatoon,Dylasophical,12
Dylasophical,MrBrownAlliance,12
IanCrossland,JamesOKeefeIII,12
Timcast,JamesOKeefeIII,12
sergedotcom,JamesOKeefeIII,12
pourchoices_,MVPMaxfieldVonPriestley,12
HumanCyborgRelation,MVPMaxfieldVonPriestley,12
HeelvsBabyface,MrPorkchop_14,12
xraygirllive8493,MVPMaxfieldVonPriestley,12
MrPorkchop_14,shadiversity,12
CultureCasino,ComixDivision,11
DDayCobra,Drunk3PO,11
youngrippa59,Drunk3PO,11
ElasticDroid,Rectrixx,11
Bigpuffer,Pezzy,11
AchesGaming,grizzytv,11
MoreGrizzy,Yumi,11
Yumi,grizzytv,11
theflushingqueens3492,MichaelFitzTroy,11
midnightsedge.me,WDW_Pro,11
NerdroticLive,MauLerYT,11
MauLerYT,NerdroticDaily,11
MauLerYT,PierryChan,11
shadiversity,disparutoo,11
